id;description;sort_order;date_added;date_modified;status;genero
1;MesaXXXX;31264;2023-03-10;2023-03-10;DISABLED;MASCULINO
2;Verde Guapa metrics;41701;2023-03-10;2023-03-11;AVAILABLE;FEMENINO
3;transmitting Berkshire Planificador;33617;2023-03-10;2023-03-10;AVAILABLE;MASCULINO
4;transmitting;59168;2023-03-10;2023-03-10;DISABLED;MASCULINO
5;interfaces Electrónica;24149;2023-03-10;2023-03-10;AVAILABLE;FEMENINO
6;Canarias Diseñador;71047;2023-03-10;2023-03-10;AVAILABLE;FEMENINO
7;ParcelaX;58088;2023-03-10;2023-03-11;AVAILABLE;FEMENINO
8;Bedfordshire Cliente;75834;2023-03-10;2023-03-10;AVAILABLE;MASCULINO
9;Dinánmico radical Granito;66292;2023-03-10;2023-03-10;DISABLED;MASCULINO
10;Loan connecting systems;25972;2023-03-10;2023-03-10;AVAILABLE;FEMENINO
