id;campo_1;capo_2;campo_3;campo_4;campo_5
1;SSL invoice Peso;55180;false;2023-03-10;FEMENINO
2;Increible Somoni;88341;false;2023-03-10;MASCULINO
3;Ladrillo;50708;true;2023-03-10;FEMENINO
4;arrayXXX;86317;false;2023-03-10;FEMENINO
5;Regional;3788;true;2023-03-11;MASCULINO
6;Papelería efficient;7664;false;2023-03-10;MASCULINO
7;Nacional AI;33227;true;2023-03-10;FEMENINO
8;SaludXXX;28647;true;2023-03-10;MASCULINO
9;overriding strategic programming;41161;false;2023-03-10;MASCULINO
10;withdrawal Rojo;61508;false;2023-03-10;MASCULINO
